surface,symbol,_id,entrezgene,ensembl_id,pdb_id,name
.CDC37,Cdc37,38232,38232,FBgn0011573,,Cdc37
14-3-3 zeta,zeta,445762,445762,ENSCING00000019274,,proteasome Z subunit
14-3-3 zeta,14-3-3,101501220,101501220,,,14-3-3-like protein B
5 E1B,E1B,6870515,6870515,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,6386275,6386275,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,2958470,2958470,,,E1B 19K;E1B 55K
5 E1B,E1B,24271511,24271511,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,2715936,2715936,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,1460854,1460854,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,2652981,2652981,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,63843183,63843183,,,mitochondrial precursor/oxidoreductse activity protein
5 E1B,E1b,25395996,25395996,,,E1b_55K
5 E1B,E1B,3126070,3126070,,,E1B 19 kDa protein;E1B 55 kDa protein
AP-1,FOSB,2354,2354,ENSG00000125740,5VPA,"FosB proto-oncogene, AP-1 transcription factor subunit"
AP-1,JUND,3727,3727,ENSG00000130522,3U86,"JunD proto-oncogene, AP-1 transcription factor subunit"
AP-1,FOSL2,2355,2355,ENSG00000075426,,"FOS like 2, AP-1 transcription factor subunit"
AP-1,FOSL1,8061,8061,ENSG00000175592,,"FOS like 1, AP-1 transcription factor subunit"
AP-1,FOS,2353,2353,ENSG00000170345,1A02,"Fos proto-oncogene, AP-1 transcription factor subunit"
AP-1,JUN,3725,3725,ENSG00000177606,1A02,"Jun proto-oncogene, AP-1 transcription factor subunit"
AP-1,JUNB,3726,3726,ENSG00000171223,,"JunB proto-oncogene, AP-1 transcription factor subunit"
B beta chain of fibrinogen,B,44798,44798,,,Bar
B beta chain of fibrinogen,B,100532763,100532763,,,Brown
B beta chain of fibrinogen,B,1260630,1260630,,,gpB
B beta chain of fibrinogen,B,1260691,1260691,,,internal scaffolding protein
B beta chain of fibrinogen,B,8658815,8658815,,,AAA family ATPase
B beta chain of fibrinogen,B,3959394,3959394,,,gpB
B beta chain of fibrinogen,B,3959442,3959442,,,gpB
B beta chain of fibrinogen,B,3959421,3959421,,,gpB
B beta chain of fibrinogen,B,3959339,3959339,,,gpB
B beta chain of fibrinogen,B,3959408,3959408,,,gpB
B cell activation protein,B,44798,44798,,,Bar
B cell activation protein,B,100532763,100532763,,,Brown
B cell activation protein,B,1260630,1260630,,,gpB
B cell activation protein,B,1260691,1260691,,,internal scaffolding protein
B cell activation protein,B,8658815,8658815,,,AAA family ATPase
B cell activation protein,B,3959394,3959394,,,gpB
B cell activation protein,B,3959442,3959442,,,gpB
B cell activation protein,B,3959421,3959421,,,gpB
B cell activation protein,B,3959339,3959339,,,gpB
B cell activation protein,B,3959408,3959408,,,gpB
B-50,LOC102865194,102865194,102865194,,,"HLA class I histocompatibility antigen, B-50 alpha chain-like"
B-50,LOC102438309,102438309,102438309,,,"HLA class I histocompatibility antigen, B-50 alpha chain-like"
B42,FK951_p1042,41332232,41332232,,,FirrV-1-B42
B42,GfIV_sB42gp1,5179567,5179567,,,GfV-B42-ORF1
BAG,bag,11638212,11638212,,,putative DNA-directed RNA polymerase II largest subunit
BAG,bag,26637821,26637821,,,IgA FC receptor precursor
BMP receptor IA,RECEPTOR,443145,443145,,,neuropilin-1
BMP receptor IA,Ia,912260,912260,,,putative transport protein
BMP receptor IA extracellular domain,RECEPTOR,443145,443145,,,neuropilin-1
BMP receptor IA extracellular domain,Ia,912260,912260,,,putative transport protein
BMP receptor type IB,RECEPTOR,443145,443145,,,neuropilin-1
BMP receptor type IB,Ib,912261,912261,,,hypothetical protein
Bcl-2,bcl-2,100215682,100215682,,,apoptosis regulator Bcl-2-like
Bcl-2,BCL-2,100009447,100009447,,,B-cell CLL/lymphoma 2 protein
