surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
14-3-3 beta,2014/3/3,101501220,,,14-3-3-like protein B
53BP2,Trp53bp2,209456,ENSMUSG00000026510,,transformation related protein 53 binding protein 2
80K-H,PRKCSH,5589,ENSG00000130175,,protein kinase C substrate 80K-H
A beta,a,50518,ENSMUSG00000027596,,nonagouti
A kinase anchoring protein,a,50518,ENSMUSG00000027596,,nonagouti
ABL-SH3,LOC108688689,108688689,,,abl interactor 2-like
ABP-280,Flnc,68794,ENSMUSG00000068699,,"filamin C, gamma"
ADA,ADA,100,ENSG00000196839,"['1M7M', '3IAR']",adenosine deaminase
AKAP75,AKAP5,281612,ENSBTAG00000009642,,A-kinase anchoring protein 5
AKAP79,Akap5,171026,ENSRNOG00000006410,,A-kinase anchoring protein 5
APO-1,,PGSC0003DMG400022740,,,"APO protein 1, chloroplastic"
AT mutated,at,11904,,,atrichosis
ATF,Atf,692594,,,activating transcription factor
ATM,ATM,472,ENSG00000149311,"['5NP0', '5NP1', '6HKA', '6K9K', '6K9L']",ATM serine/threonine kinase
Abeta,PPP2R1B,5519,ENSG00000137713,,protein phosphatase 2 scaffold subunit Abeta
