surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
.CDC37,Cdc37,38232,FBgn0011573,,Cdc37
.CDC37,,GPPI037182,GPPI037182,,Cdc37
.CDC37,,GAUT042073,GAUT042073,,Cdc37
.CDC37,,GPAI007342,GPAI007342,,Cdc37
.CDC37,,GFUI036612,GFUI036612,,Cdc37
.CDC37,,GBRI014938,GBRI014938,,Cdc37
.CDC37,MAM_07342,63741797,,,Cdc37
.CDC37,SPAR_D03740,54629621,,,Cdc37
.CDC37,PEX2_097670,27682457,,,Cdc37
.CDC37,NCU00472,3872938,NCU00472,,CDC37
14-3-3 beta,14-3-3,101501220,,,14-3-3-like protein B
14-3-3 zeta,zeta,445762,ENSCING00000019274,,proteasome Z subunit
14-3-3 zeta,14-3-3,101501220,,,14-3-3-like protein B
5 E1B,E1B,6870515,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,6386275,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,2958470,,,E1B 19K;E1B 55K
5 E1B,E1B,24271511,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,2715936,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,1460854,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,2652981,,,control protein E1B 19K;control protein E1B 55K
5 E1B,E1B,63843183,,,mitochondrial precursor/oxidoreductse activity protein
5 E1B,E1b,25395996,,,E1b_55K
5 E1B,E1B,3126070,,,E1B 19 kDa protein;E1B 55 kDa protein
53BP2,Trp53bp2,209456,ENSMUSG00000026510,,transformation related protein 53 binding protein 2
80K-H,PRKCSH,5589,ENSG00000130175,,protein kinase C substrate 80K-H
A beta,a,50518,ENSMUSG00000027596,,nonagouti
A kinase anchoring protein,a,50518,ENSMUSG00000027596,,nonagouti
AADC,,TraesCS5D02G138500,TraesCS5D02G138500,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,ORGLA07G0104400,ORGLA07G0104400,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,BVRB_7g166040,BVRB_7g166040,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,SETIT_033345mg,SETIT_033345mg,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,DCAR_000572,,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,Jr01_33090,,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,OE9A000744,OE9A000744,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,BRADI_1g28960v3,,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
AADC,,GLYMA_03G167900,,,"Aromatic L-amino acid decarboxylase (AADC), Serotonin biosynthesi"
