surface,symbol,_id,entrezgene,ensembl_id,pdb_id,name
4a,4A,1262388,1262388,,,toprim domain-containing protein
4a,4A,2658894,2658894,,,toprim domain-containing protein
4a,4a,1258859,1258859,,,gp4a
4a,4a,10322958,10322958,,,toprim domain-containing protein
4a,4A,10324328,10324328,,,predicted DNA primase-helicase
4a,4A,10228800,10228800,,,DNA primase/helicase
4a,4A,54967436,54967436,,,toprim domain-containing protein
4a,4A,6449693,6449693,,,toprim domain-containing protein
4a,4A,6370157,6370157,,,toprim domain-containing protein
4a,4A,6449779,6449779,,,toprim domain-containing protein
4A6,LOC112642531,112642531,112642531,ENSCAFG00020014560,,cytochrome P450 4A6
4A6,LOC100064020,100064020,100064020,ENSECAG00000027949,,cytochrome P450 4A6
4A6,LOC100564663,100564663,100564663,ENSACAG00000005985,,cytochrome P450 4A6
4A6,LOC103670742,103670742,103670742,ENSUMAG00000023368,,cytochrome P450 4A6
4A6,LOC107514040,107514040,107514040,,,cytochrome P450 4A6
4A6,LOC112314476,112314476,112314476,,,cytochrome P450 4A6
4A6,LOC101674954,101674954,101674954,,,cytochrome P450 4A6
4A6,LOC119005426,119005426,119005426,,,cytochrome P450 4A6
4A6,CYP4A6,100328946,100328946,,,cytochrome P450 4A6
4A6,LOC105092933,105092933,105092933,,,cytochrome P450 4A6
4b,4B,1262421,1262421,,,helicase
4b,4B,10324332,10324332,,,predicted DNA helicase
4b,4B,54967441,54967441,,,toprim domain-containing protein
4b,4B,6449857,6449857,,,toprim domain-containing protein
4b,4B,6449894,6449894,,,4B
4b,4B,6370128,6370128,,,gp4B
4b,4B,6449778,6449778,,,gp4B
4b,4b,3844360,3844360,,,4b protein
4b,4b,918760,918760,,,4b protein
4b,4B,18500415,18500415,,,toprim domain-containing protein
5S,5S,58912514,58912514,,,5S ribosomal RNA
5S,5S,40873334,40873334,,,5S ribosomal RNA
5S,5S,40874126,40874126,,,5S ribosomal RNA
5S,5S,56139581,56139581,,,5S ribosomal RNA
5S,5S,59443122,59443122,,,5S ribosomal RNA
5S,5S,56139600,56139600,,,5S ribosomal RNA
5S,5S,33900594,33900594,,,5S ribosomal RNA
5S,5S,55289887,55289887,,,5S ribosomal RNA
