surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
18S rRNA,rRNA,EPlORYSAT000373811,EPlORYSAT000373811,,
18S rRNA,rRNA,EPlORYSAT000373839,EPlORYSAT000373839,,
18S rRNA,rRNA,PF3D7_0531700,PF3D7_0531700,,
18S rRNA,rRNA,PF3D7_0725900,PF3D7_0725900,,
18S rRNA,rRNA,PF3D7_0112400,PF3D7_0112400,,
18S rRNA,rRNA,PF3D7_0725700,PF3D7_0725700,,
18S rRNA,rRNA,EPlORYSAT000373834,EPlORYSAT000373834,,
18S rRNA,rRNA,EPlORYSAT000373849,EPlORYSAT000373849,,
18S rRNA,rRNA,EPlORYSAT000373829,EPlORYSAT000373829,,
18S rRNA,rRNA,EPlORYSAT000373845,EPlORYSAT000373845,,
28S rRNA,rRNA,EPlORYSAT000373811,EPlORYSAT000373811,,
28S rRNA,rRNA,EPlORYSAT000373839,EPlORYSAT000373839,,
28S rRNA,rRNA,PF3D7_0531700,PF3D7_0531700,,
28S rRNA,rRNA,PF3D7_0725900,PF3D7_0725900,,
28S rRNA,rRNA,PF3D7_0112400,PF3D7_0112400,,
28S rRNA,rRNA,PF3D7_0725700,PF3D7_0725700,,
28S rRNA,rRNA,EPlORYSAT000373834,EPlORYSAT000373834,,
28S rRNA,rRNA,EPlORYSAT000373849,EPlORYSAT000373849,,
28S rRNA,rRNA,EPlORYSAT000373829,EPlORYSAT000373829,,
28S rRNA,rRNA,EPlORYSAT000373845,EPlORYSAT000373845,,
4a,4A,1262388,,,toprim domain-containing protein
4a,4A,2658894,,,toprim domain-containing protein
4a,4a,1258859,,,gp4a
4a,4a,10322958,,,toprim domain-containing protein
4a,4A,10324328,,,predicted DNA primase-helicase
4a,4A,10228800,,,DNA primase/helicase
4a,4A,54967436,,,toprim domain-containing protein
4a,4A,6449693,,,toprim domain-containing protein
4a,4A,6370157,,,toprim domain-containing protein
4a,4A,6449779,,,toprim domain-containing protein
4A6,LOC112642531,112642531,ENSCAFG00020014560,,cytochrome P450 4A6
4A6,LOC100064020,100064020,ENSECAG00000027949,,cytochrome P450 4A6
4A6,LOC100564663,100564663,ENSACAG00000005985,,cytochrome P450 4A6
4A6,LOC103670742,103670742,ENSUMAG00000023368,,cytochrome P450 4A6
4A6,LOC107514040,107514040,,,cytochrome P450 4A6
4A6,LOC112314476,112314476,,,cytochrome P450 4A6
4A6,LOC101674954,101674954,,,cytochrome P450 4A6
4A6,LOC119005426,119005426,,,cytochrome P450 4A6
4A6,CYP4A6,100328946,,,cytochrome P450 4A6
4A6,LOC105092933,105092933,,,cytochrome P450 4A6
4b,4B,1262421,,,helicase
4b,4B,10324332,,,predicted DNA helicase
4b,4B,54967441,,,toprim domain-containing protein
4b,4B,6449857,,,toprim domain-containing protein
4b,4B,6449894,,,4B
4b,4B,6370128,,,gp4B
4b,4B,6449778,,,gp4B
4b,4b,3844360,,,4b protein
4b,4b,918760,,,4b protein
4b,4B,18500415,,,toprim domain-containing protein
5.8S,5_8S_rRNA,ENSG00000278294,ENSG00000278294,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000283568,ENSG00000283568,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000275877,ENSG00000275877,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000283274,ENSG00000283274,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000283291,ENSG00000283291,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000273730,ENSG00000273730,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000277739,ENSG00000277739,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000276871,ENSG00000276871,,5.8S ribosomal RNA
5.8S,5_8S_rRNA,ENSG00000275757,ENSG00000275757,,5.8S ribosomal RNA
5S,5S,58912514,,,5S ribosomal RNA
5S,5S,40873334,,,5S ribosomal RNA
5S,5S,40874126,,,5S ribosomal RNA
5S,5S,56139581,,,5S ribosomal RNA
5S,5S,59443122,,,5S ribosomal RNA
5S,5S,56139600,,,5S ribosomal RNA
5S,5S,33900594,,,5S ribosomal RNA
5S,5S,55289887,,,5S ribosomal RNA
5S,5S,56139469,,,5S ribosomal RNA
5S,5S,56139450,,,5S ribosomal RNA
A,a,50518,ENSMUSG00000027596,,nonagouti
A1 adenosine receptor,RECEPTOR,443145,,,neuropilin-1
A1 adenosine receptors,A1,BGIBMGA013945,BGIBMGA013945,,"Actin, muscle-type A1"
A1 adenosine receptors,A1,100145913,,,actin A1
A1 adenosine receptors,A1,547776,,1JU8,albumin 1
A1 adenosine receptors,A1,AT5G60390,,,Elongation factor 1-alpha 4
A1 adenosine receptors,A1,AT1G07940,,,Elongation factor 1-alpha 4
A1 adenosine receptors,A1,11464236,,,membrane protein A1
A1 adenosine receptors,A1,AT1G07920,,,Elongation factor 1-alpha 4
A1 adenosine receptors,A1,AT1G07930,,,Elongation factor 1-alpha 4
A1 adenosine receptors,A1,54974880,,,DNA transfer protein
A1 adenosine receptors,A1,2777670,,,A1
