surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
Bcl3,BCL3,602,ENSG00000069399,"['1K1A', '1K1B']",BCL3 transcription coactivator
CASP10,CASP10,843,ENSG00000003400,,caspase 10
CCR2,CCR2,729230,ENSG00000121807,"['1KAD', '1KP1', '2MLO', '2MLQ', '5T1A']",C-C motif chemokine receptor 2
CD148,PTPRJ,5795,ENSG00000149177,"['2CFV', '2DLE', '2NZ6']",protein tyrosine phosphatase receptor type J
CD162,Selplg,20345,ENSMUSG00000048163,,"selectin, platelet (p-selectin) ligand"
CD18,cd18,100136144,,,CD18 protein
CD22,CD22,933,ENSG00000012124,"['5VKJ', '5VKM', '5VL3']",CD22 molecule
CD53,CD53,963,ENSG00000143119,6WVG,CD53 molecule
CD69,CD69,969,ENSG00000110848,"['1E87', '1E8I', '1FM5', '3CCK', '3HUP']",CD69 molecule
CLIP-170,clip3.S,495693,,,CAP-Gly domain containing linker protein 3 S homeolog
CR6,LOC113219439,113219439,,,greater CFTR locus negative regulatory element CR6
CTD,CTD,1283,,,Coats disease
Cdc42,CDC42,998,ENSG00000070831,"['1A4R', '1AJE', '1AM4', '1AN0', '1CEE', '1CF4', '1DOA', '1E0A', '1EES', '1GRN', '1GZS', '1KI1', '1KZ7', '1KZG', '1NF3', '2ASE', '2DFK', '2KB0', '2NGR', '2ODB', '2QRZ', '2WM9', '2WMN', '2WMO', '3GCG', '3QBV', '3VHL', '4DID', '4ITR', '4JS0', '4YC7', '4YDH', '5CJP', '5FI1', '5HZK', '5UPK', '5UPL', '6AJ4', '6AJL', '6SIU', '6SUP', '6TKY', '6TKZ']",cell division cycle 42
Cdk1,CDK1,983,ENSG00000170312,"['1LC9', '4Y72', '4YC3', '4YC6', '5HQ0', '5LQF', '6GU2', '6GU3', '6GU4', '6GU6', '6GU7', '6TWN']",cyclin dependent kinase 1
Cytohesin-1,CYTH1,9267,ENSG00000108669,"['1BC9', '4A4P']",cytohesin 1
DEP1,Dep1,170624,,,diabetic embryopathy 1
DGKdelta,Dgkd,227333,ENSMUSG00000070738,,"diacylglycerol kinase, delta"
DRS,Drs,38419,FBgn0283461,1MYN,Drosomycin
Dnmt3a,DNMT3A,1788,ENSG00000119772,"['2QRV', '3A1A', '3A1B', '3LLR', '3SVM', '4QBQ', '4QBR', '4QBS', '4U7P', '4U7T', '5YX2', '6BRR', '6F57', '6PA7', '6W89', '6W8B', '6W8D', '6W8J']",DNA methyltransferase 3 alpha
Dnmt3b,DNMT3B,1789,ENSG00000088305,"['3FLG', '3QKJ', '5CIU', '5NR3', '5NRR', '5NRS', '5NRV', '5NV0', '5NV2', '5NV7', '5NVO', '6KDA', '6KDB', '6KDL', '6KDP', '6KDT', '6PA7', '6R3E', '6U8P', '6U8V', '6U8W', '6U8X', '6U90', '6U91']",DNA methyltransferase 3 beta
E-cadherin,LOC655649,655649,TC004820,,E-cadherin
Egr1,EGR1,1958,ENSG00000120738,"['4R2A', '4R2C', '4R2D', '4X9J', '5N14']",early growth response 1
Etfb,ETFB,2109,ENSG00000105379,"['1EFV', '1T9G', '2A1T', '2A1U']",electron transfer flavoprotein subunit beta
Etfdh,ETFDH,2110,ENSG00000171503,,electron transfer flavoprotein dehydrogenase
FGF-1.B,LOC109113859,109113859,,,FGF1 promoter B
FGF-8,FGF-8,662630,TC000278,,fibroblast growth factor 8
FGFR4,FGFR4,2264,ENSG00000160867,"['1QCT', '4QQ5', '4QQC', '4QQJ', '4QQT', '4QRC', '4R6V', '4TYE', '4TYG', '4TYI', '4TYJ', '4UXQ', '4XCU', '5JKG', '5NUD', '5NWZ', '5XFF', '5XFJ', '6IUO', '6IUP', '6J6Y', '6JPE', '6JPJ', '6NVG', '6NVH', '6NVI', '6NVJ', '6NVK', '6V9C', '6YI8', '7DTZ']",fibroblast growth factor receptor 4
GAB,Ppa-gab-1,WBGene00111807,WBGene00111807,,Gab-1
GADD45a,GADD45A,1647,ENSG00000116717,2KG4,growth arrest and DNA damage inducible alpha
GADD45b,GADD45B,4616,ENSG00000099860,,growth arrest and DNA damage inducible beta
GADD45g,GADD45G,10912,ENSG00000130222,"['2WAL', '3FFM']",growth arrest and DNA damage inducible gamma
GPI-80,vnn2,496713,ENSXETG00000039983,,vanin 2
GTPase-activating protein,RAP1GAP,5909,ENSG00000076864,"['1SRQ', '3BRW']",RAP1 GTPase activating protein
Gab1,GAB1,2549,ENSG00000109458,4QSY,GRB2 associated binding protein 1
Gab2,GAB2,9846,ENSG00000033327,"['2VWF', '2W0Z', '5EWZ', '5EXA', '6Y3R', '6Y3S']",GRB2 associated binding protein 2
Gadd45,Gadd45,35646,FBgn0033153,,Growth arrest and DNA damage-inducible 45
Gadd45a,GADD45A,1647,ENSG00000116717,2KG4,growth arrest and DNA damage inducible alpha
Gadd45b,GADD45B,4616,ENSG00000099860,,growth arrest and DNA damage inducible beta
Gadd45g,GADD45G,10912,ENSG00000130222,"['2WAL', '3FFM']",growth arrest and DNA damage inducible gamma
