surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
ADAM 12,Adam,105221322,,,eukaryotic translation initiation factor 3 subunit J
AP-1,FOSB,2354,ENSG00000125740,"['5VPA', '5VPB', '5VPC', '5VPD', '5VPE', '5VPF', '6UCI', '6UCL', '6UCM']","FosB proto-oncogene, AP-1 transcription factor subunit"
AP-1,JUND,3727,ENSG00000130522,"['3U86', '5VPA', '5VPB', '5VPC', '5VPD', '5VPE', '5VPF']","JunD proto-oncogene, AP-1 transcription factor subunit"
AP-1,FOSL2,2355,ENSG00000075426,,"FOS like 2, AP-1 transcription factor subunit"
AP-1,JUNB,3726,ENSG00000171223,,"JunB proto-oncogene, AP-1 transcription factor subunit"
AP-1,FOS,2353,ENSG00000170345,"['1A02', '1FOS', '1S9K']","Fos proto-oncogene, AP-1 transcription factor subunit"
AP-1,JUN,3725,ENSG00000177606,"['1A02', '1FOS', '1JNM', '1JUN', '1S9K', '1T2K', '5FV8', '5T01', '6Y3V']","Jun proto-oncogene, AP-1 transcription factor subunit"
AP-1,FOSL1,8061,ENSG00000175592,,"FOS like 1, AP-1 transcription factor subunit"
AP180,ap180,100195998,ENSSSAG00000054591,,Clathrin coat assembly protein AP180
AP180,AP180,AT1G05020,,,Clathrin coat assembly protein AP180
ARF,ARF,ENSHGLG00000009936,ENSHGLG00000009936,,"Heterocephalus glaber cyclin-dependent kinase 4 inhibitor B (LOC101701430), mRNA."
ARF,ARF,Os05g0489600,,,
ARF,ARF,EHI_073470,,,
ARF,ARF,114181803,,,ADP-ribosylation factor
ARF,ARF,EHI_137720,,,
ARF,ARF,103444296,,,ADP-ribosylation factor
ARF,ARF,547532,,,ADP-ribosylation factor
ARF,ARF,102577963,,,auxin-response factor
ARF,arf,29060843,,,Arf
ARF,ARF,59267055,,,ADP-ribosylation factor
BCL-6,LOC101470062,101470062,ENSMZEG00005011975,,BCL-6 corepressor
BCL-6,LOC105921873,105921873,,,BCL-6 corepressor
BCL-6,LOC108228717,108228717,,,BCL-6 corepressor
BCL-6,,X975_07585,X975_07585,,BCL-6 corepressor
BCL-6,,CGI_10024125,CGI_10024125,,BCL-6 corepressor
BCL-6,LOC103183793,103183793,ENSCMIG00000010774,,BCL-6 corepressor
BCL-6,LOC102181199,102181199,ENSCHIG00000009752,,BCL-6 corepressor
BCL-6,LOC102306635,102306635,ENSHBUG00000001523,,BCL-6 corepressor
BCL-6,LOC104939476,104939476,ENSLCRG00005005951,,BCL-6 corepressor
BCL-6,LOC105027348,105027348,ENSELUG00000019177,,BCL-6 corepressor
Bcl3,BCL3,602,ENSG00000069399,"['1K1A', '1K1B']",BCL3 transcription coactivator
CASP10,CASP10,843,ENSG00000003400,,caspase 10
CB1,LOC110493735,110493735,ENSOMYG00000021755,,CB1 cannabinoid receptor-interacting protein 1
CB1,LOC110486023,110486023,ENSOMYG00000037698,,CB1 cannabinoid receptor-interacting protein 1
CB1,LOC112265376,112265376,ENSOTSG00005010806,,CB1 cannabinoid receptor-interacting protein 1
CB1,,X975_13571,X975_13571,,CB1 cannabinoid receptor-interacting protein 1
CB1,,CGI_10024172,,,CB1 cannabinoid receptor-interacting protein 1
CB1,LOC109895443,109895443,ENSOKIG00005041645,,CB1 cannabinoid receptor-interacting protein 1
CB1,F29A7.4,185104,WBGene00017914,,CB1 cannabinoid receptor-interacting protein 1
CB1,LOC113888669,113888669,ENSBIXG00005027410,,CB1 cannabinoid receptor-interacting protein 1
CB1,LOC103137379,103137379,ENSPFOG00000023191,,CB1 cannabinoid receptor-interacting protein 1
CB1,LOC115330541,115330541,,,CB1 cannabinoid receptor-interacting protein 1
CCR2,CCR2,729230,ENSG00000121807,"['1KAD', '1KP1', '2MLO', '2MLQ', '5T1A']",C-C motif chemokine receptor 2
CD148,PTPRJ,5795,ENSG00000149177,"['2CFV', '2DLE', '2NZ6']",protein tyrosine phosphatase receptor type J
CD162,Selplg,20345,ENSMUSG00000048163,,"selectin, platelet (p-selectin) ligand"
CD18,cd18,100136144,,,CD18 protein
CD22,CD22,933,ENSG00000012124,"['5VKJ', '5VKM', '5VL3']",CD22 molecule
CD43,LOC288521,288521,ENSRNOG00000028414,,similar to Leukosialin precursor (Leucocyte sialoglycoprotein) (Sialophorin) (CD43) (W3/13 antigen)
CD43,MGC112692,498157,ENSRNOG00000039282,,similar to Leukosialin precursor (Leucocyte sialoglycoprotein) (Sialophorin) (CD43) (W3/13 antigen)
CD45,ACTC,100532354,,,CD8+CD25+CD45+ cell number
CD45,MCTC,100531238,,,CD8+CD26+CD45+ cell number
CD45,MTHC,100531796,,,CD4+CD26+CD45+ cell number
CD45,ACTC,100531237,,,CD8+CD25+CD45+ cell number
CD53,CD53,963,ENSG00000143119,6WVG,CD53 molecule
CD69,CD69,969,ENSG00000110848,"['1E87', '1E8I', '1FM5', '3CCK', '3HUP']",CD69 molecule
CG beta,cg,36571,FBgn0000289,,combgap
CG beta,cg,GMOY005557,GMOY005557,,
CG beta alpha,cg,36571,FBgn0000289,,combgap
CG beta alpha,cg,GMOY005557,GMOY005557,,
CLIP-170,clip3.S,495693,,,CAP-Gly domain containing linker protein 3 S homeolog
CR6,LOC113219439,113219439,,,greater CFTR locus negative regulatory element CR6
CREB,Creb,GeneID_100121641,,,
CREB,creB,56663545,,,two-component system response regulator CreB
CREB,creB,58388860,,,two-component system response regulator CreB
CREB,creB,60898302,,,two-component system response regulator CreB
CREB,creB,57506782,,,two-component system response regulator CreB
CREB,creB,58045995,,,two-component system response regulator CreB
CREB,CREB,692871,,,cAMP responsive element binding protein
CREB,Creb,100121641,GeneID_100121641,,cyclic-AMP response element binding protein
CREB,creB,67421510,,,two-component system response regulator CreB
CREB,creB,61635512,,,two-component system response regulator CreB
CTD,CTD,1283,,,Coats disease
CdGAP,arhgap31,100489741,ENSXETG00000024732,,Rho GTPase activating protein 31
CdGAP,arhgap31.S,108709277,,,Rho GTPase activating protein 31 S homeolog
CdGAP,LOC108911457,108911457,,,GTPase-activating protein CdGAPr
CdGAP,LOC105233133,105233133,,,GTPase-activating protein CdGAPr
Cdc25,CDC25,SMAR014552,SMAR014552,,Cell division cycle 25 homolog
Cdc25,CDC25,A4A49_29365,,,
Cdc25,CDC25,SMAR005730,SMAR005730,,Cell division cycle 25 homolog
Cdc25,cdc25,DDB_G0283617,DDB_G0283617,,
Cdc25,CDC25,SMAR004098,SMAR004098,,Cell division cycle 25 homolog
Cdc25,CDC25,59370984,,,cell division cycle- protein
Cdc25,cdc25,2542632,SPAC24H6.05,,M phase inducer phosphatase Cdc25
Cdc25,Cdc25,100216491,,,cell division cycle 25
Cdc25,CDC25,831832,AT5G03455,1T3K,Rhodanese/Cell cycle control phosphatase superfamily protein
Cdc25,CDC25,AT5G03455,,,Dual specificity phosphatase Cdc25
Cdc42,CDC42,998,ENSG00000070831,"['1A4R', '1AJE', '1AM4', '1AN0', '1CEE', '1CF4', '1DOA', '1E0A', '1EES', '1GRN', '1GZS', '1KI1', '1KZ7', '1KZG', '1NF3', '2ASE', '2DFK', '2KB0', '2NGR', '2ODB', '2QRZ', '2WM9', '2WMN', '2WMO', '3GCG', '3QBV', '3VHL', '4DID', '4ITR', '4JS0', '4YC7', '4YDH', '5CJP', '5FI1', '5HZK', '5UPK', '5UPL', '6AJ4', '6AJL', '6SIU', '6SUP', '6TKY', '6TKZ']",cell division cycle 42
Cdk1,CDK1,983,ENSG00000170312,"['1LC9', '4Y72', '4YC3', '4YC6', '5HQ0', '5LQF', '6GU2', '6GU3', '6GU4', '6GU6', '6GU7', '6TWN']",cyclin dependent kinase 1
Chk1,CHK1,ENSNVIG00000020144,ENSNVIG00000020144,,checkpoint kinase 1
Chk1,CHK1,852577,YBR274W,,serine/threonine protein kinase CHK1
Chk1,CHK1,C2_03320W_A,,,Histidine protein kinase 1
Chk1,Chk1,GeneID_592974,GeneID_592974,,
Chk1,CHK1,59381540,,,Chk1 protein kinase
Chk1,chk1,2539087,SPCC1259.13,,protein kinase Chk1
Chk1,CHK1,GUITHDRAFT_158365,GUITHDRAFT_158365,,
Chk1,chk1,SPCC1259.13,,,Chk1 protein kinase
Chk1,Chk1,592974,,,checkpoint kinase 1
Chk1,CHK1,39589988,,,Chk1 protein kinase
Cytohesin-1,CYTH1,9267,ENSG00000108669,"['1BC9', '4A4P']",cytohesin 1
DEP1,Dep1,170624,,,diabetic embryopathy 1
DGKdelta,Dgkd,227333,ENSMUSG00000070738,,"diacylglycerol kinase, delta"
DRS,Drs,38419,FBgn0283461,1MYN,Drosomycin
Dnmt3a,DNMT3A,1788,ENSG00000119772,"['2QRV', '3A1A', '3A1B', '3LLR', '3SVM', '4QBQ', '4QBR', '4QBS', '4U7P', '4U7T', '5YX2', '6BRR', '6F57', '6PA7', '6W89', '6W8B', '6W8D', '6W8J']",DNA methyltransferase 3 alpha
Dnmt3b,DNMT3B,1789,ENSG00000088305,"['3FLG', '3QKJ', '5CIU', '5NR3', '5NRR', '5NRS', '5NRV', '5NV0', '5NV2', '5NV7', '5NVO', '6KDA', '6KDB', '6KDL', '6KDP', '6KDT', '6PA7', '6R3E', '6U8P', '6U8V', '6U8W', '6U8X', '6U90', '6U91']",DNA methyltransferase 3 beta
E-cadherin,LOC655649,655649,TC004820,,E-cadherin
E2-2,LOC104938077,104938077,ENSLCRG00005000753,,ubiquitin-conjugating enzyme E2 2
E2-2,LOC101486314,101486314,ENSMZEG00005003871,,ubiquitin-conjugating enzyme E2 2
E2-2,LOC105922383,105922383,ENSFHEG00000015558,,ubiquitin-conjugating enzyme E2 2
E2-2,UBC2,TraesCS5A02G429000,TraesCS5A02G429000,,Ubiquitin-conjugating enzyme E2 2
E2-2,UBC2,TraesCS5D02G437100,TraesCS5D02G437100,,Ubiquitin-conjugating enzyme E2 2
E2-2,UBC2,TraesCS5B02G431100,TraesCS5B02G431100,,Ubiquitin-conjugating enzyme E2 2
E2-2,LOC100694779,100694779,ENSONIG00000004373,,ubiquitin-conjugating enzyme E2 2
E2-2,LOC101172956,101172956,ENSORLG00000028427,,ubiquitin-conjugating enzyme E2 2
E2-2,LOC112137899,112137899,ENSOMEG00000022533,,ubiquitin-conjugating enzyme E2 2
E2-2,P78717,NechaG32729,,,Ubiquitin-conjugating enzyme E2 2
Egr1,EGR1,1958,ENSG00000120738,"['4R2A', '4R2C', '4R2D', '4X9J', '5N14']",early growth response 1
Etfb,ETFB,2109,ENSG00000105379,"['1EFV', '1T9G', '2A1T', '2A1U']",electron transfer flavoprotein subunit beta
Etfdh,ETFDH,2110,ENSG00000171503,,electron transfer flavoprotein dehydrogenase
FGF-1,fgf-1,13842678,,,fibrobast growth factor 1
FGF-1,fgf-1,5184183,,,fgf-1
FGF-1,fgf-1,20712741,,,fibroblast growth factor 1
FGF-1,fgf-1,4155902,,,FGF-1
FGF-1.B,LOC109113859,109113859,,,FGF1 promoter B
FGF-2,fgf-2,13842641,,,fibroblast growth factor 2
FGF-2,fgf-2,5184230,,,fgf-2
FGF-2,fgf-2,20712838,,,fibroblast growth factor 2
FGF-2,fgf-2,4155959,,,FGF-2
FGF-8,FGF-8,662630,TC000278,,fibroblast growth factor 8
FGFR4,FGFR4,2264,ENSG00000160867,"['1QCT', '4QQ5', '4QQC', '4QQJ', '4QQT', '4QRC', '4R6V', '4TYE', '4TYG', '4TYI', '4TYJ', '4UXQ', '4XCU', '5JKG', '5NUD', '5NWZ', '5XFF', '5XFJ', '6IUO', '6IUP', '6J6Y', '6JPE', '6JPJ', '6NVG', '6NVH', '6NVI', '6NVJ', '6NVK', '6V9C', '6YI8', '7DTZ']",fibroblast growth factor receptor 4
FSH beta,FSH,449319,,,Plasma FSH concentration
FSH beta,FSH,449320,,,Plasma FSH concentration
FSH beta,FSH,449321,,,Plasma FSH concentration
FSH beta,FSH,449322,,,Plasma FSH concentration
GAB,Ppa-gab-1,WBGene00111807,WBGene00111807,,Gab-1
GADD45a,GADD45A,1647,ENSG00000116717,2KG4,growth arrest and DNA damage inducible alpha
GADD45b,GADD45B,4616,ENSG00000099860,,growth arrest and DNA damage inducible beta
GADD45g,GADD45G,10912,ENSG00000130222,"['2WAL', '3FFM']",growth arrest and DNA damage inducible gamma
GAP,gap,56576184,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,60895259,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,64442285,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,60683174,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,61049851,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,58136766,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,63962780,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,64001931,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,61282201,,,type I glyceraldehyde-3-phosphate dehydrogenase
GAP,gap,61282407,,,type I glyceraldehyde-3-phosphate dehydrogenase
GC-GAP,arhgap32.S,108697571,,,Rho GTPase activating protein 32 S homeolog
GC-GAP,arhgap32.L,444120,,,Rho GTPase activating protein 32 L homeolog
GPI-80,vnn2,496713,ENSXETG00000039983,,vanin 2
GST,GST,CGI_10006718,CGI_10006718,,Glutathione S-transferase P 2
GST,GST,39871109,,,"glutathione S-transferase, putative"
GST,GST,Os10g0528200,Os10g0528200,,
GST,GST,100037529,,,glutathione-S-transferase
GST,GST,101890455,MDOA005193,,glutathione S-transferase
GST,gst,100037735,Solyc01g099590.3,,glutathione-S-transferase
GST,gst,1024836,,,glutathionine S-transferase
