surface,symbol,_id,entrezgene,ensembl_id,pdb_id,name
Amyloid,SAA2,6289,6289,ENSG00000134339,,serum amyloid A2
Amyloid,IAPP,3375,3375,ENSG00000121351,1KUW,islet amyloid polypeptide
Amyloid,SAA1,6288,6288,,4IP8,serum amyloid A1
CK2,GL50803_0027520,5699818,5699818,,,"Kinase, CMGC CK2"
CK2,BOVATA_002800,39872557,39872557,,,CMGC CK2 kinase
CK2,TGME49_268810,7894578,7894578,TGME49_268810,,ck2 beta subunit
CK2,BESB_052060,40310135,40310135,,,ck2 beta subunit
CK2,FSUBG_8518,59321651,59321651,,,CMGC CK2 kinase
CK2,FSUBG_9134,59322333,59322333,,,CMGC CK2 kinase
CK2,FTJAE_4592,59303281,59303281,,,CMGC CK2 kinase
CK2,FTJAE_7707,59306721,59306721,,,CMGC CK2 kinase
IP3,ip3,24019742,24019742,,,LAGLIDADG type homing endonuclease
IP3,ip3,26632423,26632423,,,putative internal head protein
IPs,IPS,544226,544226,Solyc04g054740.3,,inositol-3-phosphate synthase
IPs,ips,8310374,8310374,,,isopenicillin N synthase ips/PcbC-Penicillium chrysogenum
"Inositol 1,4,5-trisphosphate",ITPR3,3710,3710,ENSG00000096433,6DQJ,"inositol 1,4,5-trisphosphate receptor type 3"
"Inositol 1,4,5-trisphosphate",ITPR2,3709,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"Inositol 1,4,5-trisphosphate",ITPRIP,85450,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"Inositol 1,4,5-trisphosphate",ITPR1,3708,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
Neuropeptide Y,y,30980,30980,FBgn0004034,,yellow
PI-PLC,PI-PLC,39868277,39868277,,,"phosphoinositide-specific phospholipase C, putative"
PI-PLC,PI-PLC,39732427,39732427,,,"phosphoinositide-specific phospholipase C, putative"
PI-PLC,PI-PLC,39735790,39735790,,,"phosphoinositide-specific phospholipase C, putative"
PKC-alpha,LOAG_06588,9944004,9944004,LOAG_06588,,AGC/PKC/ALPHA protein kinase
PrPc,prpC,61281966,61281966,,,2-methylcitrate synthase
PrPc,prpC,64000254,64000254,,,2-methylcitrate synthase
PrPc,prpC,61323071,61323071,,,2-methylcitrate synthase
PrPc,prpC,58138337,58138337,,,2-methylcitrate synthase
PrPc,prpC,64002955,64002955,,,2-methylcitrate synthase
PrPc,prpC,56447771,56447771,,,2-methylcitrate synthase
PrPc,prpC,61634505,61634505,,,2-methylcitrate synthase
PrPc,prpC,60254242,60254242,,,2-methylcitrate synthase
PrPc,prpC,60848387,60848387,,,2-methylcitrate synthase
PrPc,prpC,64351127,64351127,,,2-methylcitrate synthase
UCP,UCP,102585221,102585221,PGSC0003DMG400020356,,mitochondrial uncoupling protein 1-like
UCP,UCP,544201,544201,Solyc09g011920.3,,putative uncoupling protein
alpha-amylase,LOC112215526,112215526,112215526,ENSOTSG00005024379,,alpha-amylase
alpha-amylase,LOC108232787,108232787,108232787,ENSKMAG00000020787,,alpha-amylase
amylase,amylase,104931258,104931258,ENSLCRG00005019010,,pancreatic alpha-amylase
amylase,amylase,103396493,103396493,ENSCSEG00000016221,,pancreatic alpha-amylase-like
amyloid,SAA2,6289,6289,ENSG00000134339,,serum amyloid A2
amyloid,SAA1,6288,6288,,4IP8,serum amyloid A1
amyloid,IAPP,3375,3375,ENSG00000121351,1KUW,islet amyloid polypeptide
bPrP,bprP,56530038,56530038,,,type III secretion system regulator BprP
bPrP,bprP,56597898,56597898,,,type III secretion system regulator BprP
cholesterol,LCAT,3931,3931,ENSG00000213398,4X96,lecithin-cholesterol acyltransferase
cholesterol,CH25H,9023,9023,ENSG00000138135,,cholesterol 25-hydroxylase
cholesterol,CLQTL1,54501,54501,,,cholesterol-lowering factor
gibberellic acid,ACID,100326236,100326236,,,Acid flavor
gibberellic acid,ACID,100326244,100326244,,,Acid flavor
gibberellin A3,A3,114173705,114173705,,,probable ureide permease A3
gibberellin A3,A3,100145915,100145915,,,actin A3
gibberellin A3,A3,5657641,5657641,,,A3
gibberellin A3,A3,11464180,11464180,,,protein A3
