surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
3,A2MP1,3,ENSG00000256069,,alpha-2-macroglobulin pseudogene 1
A beta,a,50518,ENSMUSG00000027596,,nonagouti
A beta P,a,50518,ENSMUSG00000027596,,nonagouti
A(beta),mep1b,ENSLCRG00005002381,ENSLCRG00005002381,,"meprin A, beta"
A(beta),mep1b,ENSOKIG00005029383,ENSOKIG00005029383,,"meprin A, beta"
A(beta),mep1b,ENSOMYG00000033033,ENSOMYG00000033033,,"meprin A, beta"
A(beta),mep1b,ENSPNAG00000028478,ENSPNAG00000028478,,"meprin A, beta"
A(beta),mep1b,ENSPFOG00000015911,ENSPFOG00000015911,,"meprin A, beta"
A(beta),mep1b,ENSPNAG00000004353,ENSPNAG00000004353,,"meprin A, beta"
A(beta),mep1b,ENSSSAG00000080805,ENSSSAG00000080805,,"meprin A, beta"
A(beta),mep1b,ENSOMEG00000001686,ENSOMEG00000001686,,"meprin A, beta"
A(beta),mep1b,ENSSLUG00000010864,ENSSLUG00000010864,,"meprin A, beta"
A(beta),mep1b,ENSMMDG00005021337,ENSMMDG00005021337,,"meprin A, beta"
A(beta) (1-40),DNAJC5B,85479,ENSG00000147570,,DnaJ heat shock protein family (Hsp40) member C5 beta
APP,APP,351,ENSG00000142192,"['1AAP', '1AMB', '1AMC', '1AML', '1BA4', '1BA6', '1BJB', '1BJC', '1BRC', '1CA0', '1HZ3', '1IYT', '1MWP', '1OWT', '1QCM', '1QWP', '1QXC', '1QYT', '1TAW', '1TKN', '1UO7', '1UO8', '1UOA', '1UOI', '1X11', '1Z0Q', '1ZE7', '1ZE9', '1ZJD', '2BEG', '2BOM', '2BP4', '2FJZ', '2FK1', '2FK2', '2FK3', '2FKL', '2FMA', '2G47', '2IPU', '2LFM', '2LLM', '2LMN', '2LMO', '2LMP', '2LMQ', '2LNQ', '2LOH', '2LP1', '2LZ3', '2LZ4', '2M4J', '2M9R', '2M9S', '2MGT', '2MJ1', '2MPZ', '2MVX', '2MXU', '2NAO', '2OTK', '2R0W', '2WK3', '2Y29', '2Y2A', '2Y3J', '2Y3K', '2Y3L', '3AYU', '3BAE', '3BKJ', '3DXC', '3DXD', '3DXE', '3GCI', '3IFL', '3IFN', '3IFO', '3IFP', '3JQ5', '3JQL', '3JTI', '3KTM', '3L33', '3L81', '3MOQ', '3MXC', '3MXY', '3NYJ', '3NYL', '3OVJ', '3OW9', '3PZZ', '3Q2X', '3SV1', '3U0T', '3UMH', '3UMI', '3UMK', '4HIX', '4JFN', '4M1C', '4MDR', '4MVI', '4MVK', '4MVL', '4NGE', '4OJF', '4ONF', '4ONG', '4PQD', '4PWQ', '4XXD', '5AEF', '5AM8', '5AMB', '5BUO', '5C67', '5CSZ', '5HOW', '5HOX', '5HOY', '5KK3', '5LFY', '5LV0', '5MY4', '5MYO', '5MYX', '5ONP', '5ONQ', '5OQV', '5TXD', '5VOS', '5VZY', '5W3P', '6CO3', '6GFI', '6ITU', '6IYC', '6NB9', '6O4J', '6OC9', '6OIZ', '6RHY', '6SHS', '6SZF', '6TI5', '6TI6', '6TI7', '6W0O', '6WXM', '6YHF', '6YHI', '6YHO', '6YHP', '6YHX', '7B3J', '7B3K', '7JXN', '7JXO', '7O1Q']",amyloid beta precursor protein
AVP,AVP,551,ENSG00000101200,7KH0,arginine vasopressin
Amyloid,SAA2,6289,ENSG00000134339,,serum amyloid A2
Amyloid,IAPP,3375,ENSG00000121351,"['1KUW', '2G48', '2KB8', '2L86', '3DG1', '3FPO', '3FR1', '3FTH', '3FTK', '3FTL', '3FTR', '3G7V', '3G7W', '3HGZ', '5K5G', '5KNZ', '5KO0', '5MGQ', '6UCJ', '6UCK', '6VW2', '6Y1A', '6ZRF', '6ZRQ', '6ZRR']",islet amyloid polypeptide
Amyloid,SAA1,6288,,"['4IP8', '4IP9', '6MST']",serum amyloid A1
Arginine vasopressin,AVP,551,ENSG00000101200,7KH0,arginine vasopressin
CK2,GL50803_0027520,5699818,,,"Kinase, CMGC CK2"
CK2,BOVATA_002800,39872557,,,CMGC CK2 kinase
CK2,TGME49_268810,7894578,TGME49_268810,,ck2 beta subunit
CK2,BESB_052060,40310135,,,ck2 beta subunit
CK2,FSUBG_8518,59321651,,,CMGC CK2 kinase
CK2,FSUBG_9134,59322333,,,CMGC CK2 kinase
CK2,FTJAE_4592,59303281,,,CMGC CK2 kinase
CK2,FTJAE_7707,59306721,,,CMGC CK2 kinase
GA,Ga,104054,,,greying with age
GA3,GA3,FVEG_04170,FVEG_04170,,G protein alpha subunit
GA3,Ga3,28988937,,,G protein alpha subunit
GA3,GA3,832659,AT5G25900,,GA requiring 3
IP,Ptgir,19222,ENSMUSG00000043017,4F8K,prostaglandin I receptor (IP)
IP1,ip1,24019685,,,LAGLIDADG type homing endonuclease
IP3,ip3,24019742,,,LAGLIDADG type homing endonuclease
IP3,ip3,26632423,,,putative internal head protein
IPs,IPS,544226,Solyc04g054740.3,,inositol-3-phosphate synthase
IPs,ips,8310374,,,isopenicillin N synthase ips/PcbC-Penicillium chrysogenum
"Inositol 1,4,5-trisphosphate",ITPR3,3710,ENSG00000096433,"['6DQJ', '6DQN', '6DQS', '6DQV', '6DQZ', '6DR0', '6DR2', '6DRA', '6DRC', '6UQK']","inositol 1,4,5-trisphosphate receptor type 3"
"Inositol 1,4,5-trisphosphate",ITPR2,3709,ENSG00000123104,,"inositol 1,4,5-trisphosphate receptor type 2"
"Inositol 1,4,5-trisphosphate",ITPRIP,85450,ENSG00000148841,,"inositol 1,4,5-trisphosphate receptor interacting protein"
"Inositol 1,4,5-trisphosphate",ITPR1,3708,ENSG00000150995,,"inositol 1,4,5-trisphosphate receptor type 1"
Insulin,INS,3630,ENSG00000254647,"['1A7F', '1AI0', '1AIY', '1B9E', '1BEN', '1EFE', '1EV3', '1EV6', '1EVR', '1FU2', '1FUB', '1G7A', '1G7B', '1GUJ', '1HIQ', '1HIS', '1HIT', '1HLS', '1HTV', '1HUI', '1IOG', '1IOH', '1J73', '1JCA', '1JCO', '1JK8', '1K3M', '1KMF', '1LKQ', '1LPH', '1MHI', '1MHJ', '1MSO', '1OS3', '1OS4', '1Q4V', '1QIY', '1QIZ', '1QJ0', '1RWE', '1SF1', '1SJT', '1SJU', '1T0C', '1T1K', '1T1P', '1T1Q', '1TRZ', '1TYL', '1TYM', '1UZ9', '1VKT', '1W8P', '1XDA', '1XGL', '1XW7', '1ZEG', '1ZEH', '1ZNJ', '2AIY', '2C8Q', '2C8R', '2CEU', '2G54', '2G56', '2H67', '2HH4', '2HHO', '2HIU', '2JMN', '2JUM', '2JUU', '2JUV', '2JV1', '2JZQ', '2K91', '2K9R', '2KJJ', '2KJU', '2KQP', '2KQQ', '2KXK', '2L1Y', '2L1Z', '2LGB', '2LWZ', '2M1D', '2M1E', '2M2M', '2M2N', '2M2O', '2M2P', '2MLI', '2MPG', '2MPI', '2MVC', '2MVD', '2N2V', '2N2W', '2N2X', '2OLY', '2OLZ', '2OM0', '2OM1', '2OMG', '2OMH', '2OMI', '2OMQ', '2QIU', '2R34', '2R35', '2R36', '2RN5', '2VJZ', '2VK0', '2W44', '2WBY', '2WC0', '2WRU', '2WRV', '2WRW', '2WRX', '2WS0', '2WS1', '2WS4', '2WS6', '2WS7', '3AIY', '3BXQ', '3E7Y', '3E7Z', '3EXX', '3FQ9', '3HYD', '3I3Z', '3I40', '3ILG', '3INC', '3IR0', '3JSD', '3KQ6', '3P2X', '3P33', '3Q6E', '3ROV', '3TT8', '3U4N', '3UTQ', '3UTS', '3UTT', '3V19', '3V1G', '3W11', '3W12', '3W13', '3W7Y', '3W7Z', '3W80', '3ZI3', '3ZQR', '3ZS2', '3ZU1', '4AIY', '4AJX', '4AJZ', '4AK0', '4AKJ', '4CXL', '4CXN', '4CY7', '4EFX', '4EWW', '4EWX', '4EWZ', '4EX0', '4EX1', '4EXX', '4EY1', '4EY9', '4EYD', '4EYN', '4EYP', '4F0N', '4F0O', '4F1A', '4F1B', '4F1C', '4F1D', '4F1F', '4F1G', '4F4T', '4F4V', '4F51', '4F8F', '4FG3', '4FKA', '4GBC', '4GBI', '4GBK', '4GBL', '4GBN', '4IUZ', '4IYD', '4IYF', '4NIB', '4OGA', '4P65', '4RXW', '4UNE', '4UNG', '4UNH', '4WDI', '4XC4', '4Y19', '4Y1A', '4Z76', '4Z77', '4Z78', '5AIY', '5BOQ', '5BPO', '5BQQ', '5BTS', '5C0D', '5CJO', '5CNY', '5CO2', '5CO6', '5CO9', '5E7W', '5EMS', '5EN9', '5ENA', '5HPR', '5HPU', '5HQI', '5HRQ', '5HYJ', '5MAM', '5MHD', '5MT3', '5MT9', '5MWQ', '5T7R', '5UDP', '5UOZ', '5UQA', '5URT', '5URU', '5USP', '5USS', '5USV', '5UU2', '5UU3', '5UU4', '5VIZ', '5WBT', '5WDM', '5WOB', '6B3Q', '6B70', '6BFC', '6CE7', '6CE9', '6CEB', '6CK2', '6GNQ', '6GV0', '6H3M', '6HN5', '6JK8', '6JR3', '6K59', '6NWV', '6O17', '6P4Z', '6S34', '6S4I', '6S4J', '6SOF', '6TC2', '6TYH', '6U46', '6VEP', '6VER', '6VES', '6VET', '6X4X', '6Z7W', '6Z7Y', '7BW7', '7BW8', '7BWA', '7NHU']",insulin
Leptin,LEP,3952,ENSG00000174697,1AX8,leptin
N1,N1,65099612,,,N1
NPY,NPY,4852,ENSG00000122585,"['1QFA', '1RON']",neuropeptide Y
Neuropeptide Y,y,30980,FBgn0004034,,yellow
