surface,symbol,_id,entrezgene,ensembl_id,pdb_id,name
ComK,comK,936338,936338,,,competence transcription factor (CTF)
ComK,comK,64302918,64302918,,,competence transcription factor ComK
ComK,comK,50134142,50134142,,,competence transcription factor ComK
E sigma E,E,10040184,10040184,,,E protein
E sigma E,E,100532765,100532765,,,Extension
E sigma E,e,2610524,2610524,,,e
E sigma E,e,4156375,4156375,,,e lysozyme
E sigma E,e,10323437,10323437,,,e lysozyme
E sigma E,E,1260620,1260620,,,tail assembly protein
E sigma E,E,1489671,1489671,,2MM4,small envelope protein
E sigma E,E,55060282,55060282,,,envelope protein
E sigma E,E,7040227,7040227,,,small membrane protein
E sigma E,E,7040216,7040216,,,small membrane protein
FlgM,flgM,29368091,29368091,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,61634614,61634614,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,63996145,63996145,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,63996282,63996282,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,58136145,58136145,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,56892376,56892376,,,anti-sigma-28 factor FlgM
FlgM,flgM,60843264,60843264,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,60899375,60899375,,,anti-sigma-28 factor FlgM
FlgM,flgM,60900649,60900649,,,anti-sigma-28 factor FlgM
FlgM,flgM,58461735,58461735,,,anti-sigma-28 factor FlgM
FtsZ,ftsZ,60891593,60891593,,,pseudo
FtsZ,ftsZ,61323223,61323223,,,cell division protein FtsZ
FtsZ,ftsZ,60684910,60684910,,,cell division protein FtsZ
FtsZ,ftsZ,63962079,63962079,,,cell division protein FtsZ
FtsZ,ftsZ,57752788,57752788,,,cell division protein FtsZ
FtsZ,ftsZ,56577822,56577822,,,cell division protein FtsZ
FtsZ,ftsZ,61390939,61390939,,,cell division protein FtsZ
FtsZ,ftsZ,61637135,61637135,,,cell division protein FtsZ
FtsZ,ftsZ,56899807,56899807,,,cell division protein FtsZ
FtsZ,ftsZ,56450476,56450476,,,cell division protein FtsZ
GerE,gerE,67509142,67509142,,,spore germination transcription factor GerE
GerE,gerE,64145575,64145575,,,spore germination transcription factor GerE
GerE,gerE,56350726,56350726,,,spore germination transcription factor GerE
GerE,gerE,66215028,66215028,,,spore germination transcription factor GerE
GerE,gerE,64321401,64321401,,,spore germination transcription factor GerE
GerE,gerE,64185797,64185797,,,spore germination transcription factor GerE
GerE,gerE,937462,937462,,1,transcriptional regulator required for the expression of late spore coat genes
GerE,gerE,66265945,66265945,,,spore germination transcription factor GerE
GerE,gerE,56418751,56418751,,,spore germination transcription factor GerE
GerE,gerE,61769551,61769551,,1,spore germination transcription factor GerE
KatX,katX,937399,937399,,,major catalase in spores
KatX,katX,61768349,61768349,,,catalase KatX
KatX,katX,64305644,64305644,,,catalase KatX
KatX,katX,66323906,66323906,,,catalase KatX
KatX,katX,66324443,66324443,,,catalase KatX
KatX,katX,66361564,66361564,,,catalase KatX
KinC,kinC,938742,938742,,,two-component sensor potassium-responsive histidine kinase regulating cannibalism and biofilm formation
KinC,kinC,64303337,64303337,,,two-component sensor histidine kinase KinC
KinC,kinC,50133699,50133699,,,two-component sensor histidine kinase KinC
KinD,kinD,939300,939300,,4JGO,histidine kinase phosphorylating Spo0A
KinD,kinD,64303256,64303256,,,sporulation kinase KinD
RocR,ROCR,102723505,102723505,,,regulator of chondrogenesis RNA
SigL,sigL,987375,987375,,,RNA polymerase factor sigma-54
SigL,sigL,936362,936362,,,RNA polymerase sigma-54 factor (sigma-L)
SigL,sigL,888609,888609,,3HUG,ECF RNA polymerase sigma factor SigL
SigL,sigL,45424700,45424700,,3HUG,sigma-70 family RNA polymerase sigma factor SigL
Spo0A,spo0A,61925934,61925934,,,sporulation transcription factor Spo0A
Spo0A,spo0A,61926679,61926679,,,sporulation transcription factor Spo0A
Spo0A,spo0A,65305978,65305978,,,sporulation transcription factor Spo0A
Spo0A,spo0A,67525139,67525139,,,sporulation transcription factor Spo0A
Spo0A,spo0A,64197391,64197391,,,sporulation transcription factor Spo0A
Spo0A,spo0A,64179507,64179507,,,sporulation transcription factor Spo0A
Spo0A,spo0A,56863220,56863220,,,sporulation transcription factor Spo0A
Spo0A,spo0A,66870379,66870379,,,sporulation transcription factor Spo0A
Spo0A,spo0A,66344603,66344603,,,sporulation transcription factor Spo0A
Spo0A,spo0A,66353625,66353625,,,sporulation transcription factor Spo0A
SpoIIAA,spoIIAA,67508712,67508712,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,67525076,67525076,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,65398169,65398169,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,64179675,64179675,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,66870415,66870415,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,29419697,29419697,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,66266355,66266355,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,64145902,64145902,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,57937105,57937105,,,anti-sigma F factor antagonist
SpoIIAA,spoIIAA,56926959,56926959,,,anti-sigma F factor antagonist
SpoIIAB,spoIIAB,61925756,61925756,,,anti-sigma F factor
SpoIIAB,spoIIAB,67508711,67508711,,,anti-sigma F factor
SpoIIAB,spoIIAB,67525075,67525075,,,anti-sigma F factor
SpoIIAB,spoIIAB,66870416,66870416,,,anti-sigma F factor
SpoIIAB,spoIIAB,66266356,66266356,,,anti-sigma F factor
SpoIIAB,spoIIAB,56350237,56350237,,,anti-sigma F factor
SpoIIAB,spoIIAB,56926958,56926958,,,anti-sigma F factor
SpoIIAB,spoIIAB,66215509,66215509,,,anti-sigma F factor
SpoIIAB,spoIIAB,61290259,61290259,,,anti-sigma F factor
SpoIIAB,spoIIAB,66577005,66577005,,,anti-sigma F factor
SpoIIE,spoIIE,64181020,64181020,,,stage II sporulation protein E
SpoIIE,spoIIE,65400882,65400882,,,stage II sporulation protein E
SpoIIE,spoIIE,66318539,66318539,,,stage II sporulation protein E
SpoIIE,spoIIE,67521809,67521809,,,stage II sporulation protein E
