surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
ClpX,CLPX,10845,ENSG00000166855,,caseinolytic mitochondrial matrix peptidase chaperone subunit X
CtsR,Ctsr,56835,ENSMUSG00000055679,,cathepsin R
RacX,racX,938575,,,"promiscuous aminoacid racemase (prefers arginine, lysine and ornithine)"
YtxH,ytxH,937312,,,hypothetical protein
YvyD,hpf,64305287,,,ribosome hibernation promotion factor
bkd,Bkd,5656852,,,Blackoid
comF,comF,11637098,,,amidophosphoribosyltransferase
cotX,cotX,936417,,,spore coat protein (insoluble fraction)
cwlH,cwlH,937808,,,N-acetylmuramoyl-L-alanine amidase
sigma(A),A6I63_sS1gp1,27246462,,,Sigma A
sigma(H),ref(1)H,252517,,,refractory to sigma H
sigma(K),49,19686379,,,sigma-K factor
sigmaA,S2,18733197,,,sigmaA
sigmaE,C6X95_RS12395,61742971,,,sigmaE regulated sporulation protein
sigmaF,nrsF,7332035,,,Anti-sigmaF factor NrsF
sigmaK,MWSIV6_RS07985,30671215,,,sigmaK-factor processing regulatory BofA
sspG,sspG,2914218,,,small acid-soluble spore protein
sspH,sspH,939208,,,small acid-soluble spore protein
sspN,SSPN,8082,ENSG00000123096,,sarcospan
tuaA,tapT,58461000,,,pseudo
ydaE,ydaE,948959,,,Rac prophage; zinc-binding protein
ydaP,AL529_RS09865,31635424,,,thiamine pyrophosphate-containing protein YdaP
yfhQ,trmJ,948610,,"['4CND', '4CNE', '4XBO']",tRNA Cm32/Um32 methyltransferase
yfhS,yfhS,936193,,,conserved protein related to sporulation
yfkM,yfkM,64302644,,,general stress protein 18
ykuD,,PGSC0003DMG400031182,,,YkuD
ykvP,ykvP,939278,,,spore protein (HGT island)
yvyD,hpf,64305287,,,ribosome hibernation promotion factor
