surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
ClpX,CLPX,10845,ENSG00000166855,,caseinolytic mitochondrial matrix peptidase chaperone subunit X
ComK,comK,936338,,,competence transcription factor (CTF)
ComK,comK,64302918,,,competence transcription factor ComK
ComK,comK,50134142,,,competence transcription factor ComK
CsbB,csbB,DDB_G0272562,DDB_G0272562,,
CsbB,csbB,939717,,,"putative bactoprenol glycosyl transferase, phage origin"
CsbB,csbB,8618621,,,contact site B protein
CtsR,Ctsr,56835,ENSMUSG00000055679,,cathepsin R
DnaK,dnaK,CMV163C,,,Chaperone protein dnaK
DnaK,dnaK,61223565,,,molecular chaperone DnaK
DnaK,dnaK,56449676,,,molecular chaperone DnaK
DnaK,dnaK,64001886,,,molecular chaperone DnaK
DnaK,dnaK,63961345,,,molecular chaperone DnaK
DnaK,dnaK,63995521,,,molecular chaperone DnaK
DnaK,dnaK,57752765,,,molecular chaperone DnaK
DnaK,dnaK,60256033,,,molecular chaperone DnaK
DnaK,dnaK,29368619,,,molecular chaperone DnaK
DnaK,dnaK,56578596,,,molecular chaperone DnaK
E sigma E,E,10040184,,,E protein
E sigma E,E,100532765,,,Extension
E sigma E,e,2610524,,,e
E sigma E,e,4156375,,,e lysozyme
E sigma E,e,10323437,,,e lysozyme
E sigma E,E,1260620,,,tail assembly protein
E sigma E,E,1489671,,"['2MM4', '5X29', '5XER', '5XES', '7NTJ']",small envelope protein
E sigma E,E,55060282,,,envelope protein
E sigma E,E,7040227,,,small membrane protein
E sigma E,E,7040216,,,small membrane protein
FlgM,flgM,56663054,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,29368091,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,61634614,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,63996145,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,63996282,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,58136145,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,56892376,,,anti-sigma-28 factor FlgM
FlgM,flgM,60843264,,,flagellar biosynthesis anti-sigma factor FlgM
FlgM,flgM,60899375,,,anti-sigma-28 factor FlgM
FlgM,flgM,60900649,,,anti-sigma-28 factor FlgM
FtsZ,ftsZ,60891593,,,pseudo
FtsZ,ftsZ,61323223,,,cell division protein FtsZ
FtsZ,ftsZ,60684910,,,cell division protein FtsZ
FtsZ,ftsZ,63962079,,,cell division protein FtsZ
FtsZ,ftsZ,57752788,,,cell division protein FtsZ
FtsZ,ftsZ,56577822,,,cell division protein FtsZ
FtsZ,ftsZ,61390939,,,cell division protein FtsZ
FtsZ,ftsZ,61637135,,,cell division protein FtsZ
FtsZ,ftsZ,56899807,,,cell division protein FtsZ
FtsZ,ftsZ,56450476,,,cell division protein FtsZ
GerE,gerE,67509142,,,spore germination transcription factor GerE
GerE,gerE,64145575,,,spore germination transcription factor GerE
GerE,gerE,56350726,,,spore germination transcription factor GerE
GerE,gerE,61741427,,,spore germination transcription factor GerE
GerE,gerE,66215028,,,spore germination transcription factor GerE
GerE,gerE,64321401,,,spore germination transcription factor GerE
GerE,gerE,64185797,,,spore germination transcription factor GerE
GerE,gerE,937462,,1FSE,transcriptional regulator required for the expression of late spore coat genes
GerE,gerE,66265945,,,spore germination transcription factor GerE
GerE,gerE,56418751,,,spore germination transcription factor GerE
KatX,katX,61743738,,,catalase KatX
KatX,katX,937399,,,major catalase in spores
KatX,katX,61768349,,,catalase KatX
KatX,katX,64305644,,,catalase KatX
KatX,katX,66323906,,,catalase KatX
KatX,katX,66324443,,,catalase KatX
KatX,katX,66361564,,,catalase KatX
KinC,kinC,938742,,,two-component sensor potassium-responsive histidine kinase regulating cannibalism and biofilm formation
KinC,kinC,64303337,,,two-component sensor histidine kinase KinC
KinC,kinC,50133699,,,two-component sensor histidine kinase KinC
KinD,kinD,939300,,"['4JGO', '4JGP', '4JGQ', '4JGR']",histidine kinase phosphorylating Spo0A
KinD,kinD,64303256,,,sporulation kinase KinD
RacX,racX,938575,,,"promiscuous aminoacid racemase (prefers arginine, lysine and ornithine)"
RocR,ROCR,102723505,,,regulator of chondrogenesis RNA
RocR,ROCR,ENSG00000228639,ENSG00000228639,,regulator of chondrogenesis RNA
SigE,SIGE,A4A49_16573,,,
SigE,sigE,DDB_G0277921,DDB_G0277921,,
SigE,sigE,67508538,,,RNA polymerase sporulation sigma factor SigE
