protein,appearances,hits,max_score_hits
.CDC37,18,1670,10
120-kDa phosphoprotein,55,0,0
14-3-3 beta,11,1413,1
14-3-3 zeta,65,1710,2
5 E1B,46,1040,10
53BP2,90,2,1
56Lyn,64,0,0
80K-H,150,448,1
87K postsynaptic protein,19,0,0
A beta,209,23648,1
A kinase anchoring protein,15,5679,1
AADC,85,65,10
ABL-SH3,25,22,1
ABP-280,13,7,1
ADA,351,974,1
ADA-1,17,27,2
AKAP75,182,2,1
AKAP79,75,2,1
AP-1,54,21456,7
AP1,66,217,10
APO-1,38,280,1
AT mutated,13,31,1
ATF,60,6673,1
ATM,78,3327,1
Abeta,360,249,1
Abeta peptide,12,5,1
ActR-II,17,6,1
ActRII,95,4,1
Activin A,6,3189,1
Apo-1,19,280,1
B beta chain of fibrinogen,22,372,10
B cell activation protein,5,997,10
B-50,20,473,2
B42,75,2,2
B61,70,8,1
BAG,16,6103,2
BAG-1,96,1417,1
BB isoform of human recombinant platelet-derived growth factor,2,2,2
BDNF,144,1157,1
BMP receptor IA,11,10,2
BMP receptor IA extracellular domain,11,2,2
BMP receptor type IB,11,10,2
BMP type II receptor,38,37,1
BMP-2,283,1851,1
BMP-4,20,36,1
BMP-6,6,15,1
BMP-7,42,18,1
BMPR-IA,34,8,1
BMPR-II,121,11,1
BMPRIB,22,2,1
BR-I,24,17,1
BR-II,144,6,1
BR-Ia,120,1,1
BR-Ib,120,0,0
BRIA,11,0,0
BRIAec,11,0,0
Bax,180,4605,1
Bcl-2,871,7648,2
Bcl-2-binding protein,32,123,1
Bcl-X,36,38,1
Bcl-X-L,144,16,1
Bcl-X-S,144,3,1
Bcl-x(L),7,16,1
Bcl-xL,35,29,2
Blimp-1,16,24,3
Bone morphogenetic protein-2,17,2448,1
Bp50,5,3,1
C3,80,9980,1
C4,80,9701,10
C5,10,6430,1
C8,60,2538,3
C9,40,2216,1
CAP-60,78,2,1
CBP,175,3241,10
CC CKR1,84,6,4
CC CKR3,126,10,4
CC chemokine liver-expressed chemokine,27,5,4
CC chemokine receptor 3,79,1052,1
CCG1,32,23,2
CCKB,44,78,10
CCKB G protein-coupled receptor,44,269,1
CCKB receptor,44,78,1
CCL16,76,176,1
CCR-5,243,23,3
CCR1,174,343,1
CCR2,108,283,1
CCR3,145,759,1
CCR5,375,158,1
