protein,appearances,hits,max_score_hits
18S rRNA,10,1613,10
28S rRNA,3,1697,10
4A6,2,115,10
4a,34,40769,10
4b,34,34223,10
5.8S,10,19176,9
5S,10,321288,10
87K,7,0,0
87K postsynaptic protein,5,0,0
A,14,712822,1
A-Cat,5,47,1
A-SMase,12,5,1
A1 adenosine receptor,18,1660,1
A1 adenosine receptors,1,22,10
A1-adenosine receptor,1,1650,1
A23R,18,10,4
A8R,18,4,3
ABP,7,78,1
ABP1,10,97,10
ABPs,4,0,0
ACT1,10,87,1
ADA,3,974,1
ADE2,4,1173,10
ADF,130,1176,4
AF-6,14,941,2
AH,8,803,10
ANP,4,79,3
AP-1,46,21456,7
APC,86,9585,1
APO1,20,11,4
ATPase,16,199389,3
AXL1,2,9,5
Abp1p,40,5,5
Act88F,16,5,1
ActA,23,21,7
Actin,14,94869,5
Actin-binding proteins,13,131,1
Actin-depolymerizing factor,4,2709,1
Actophorin,2,57,9
Aip1,18,67,10
Aip1p,95,3,3
Apc,15,9585,1
Aprotinin,4,2,1
Arm,6,8963,9
Armadillo,21,16074,1
Arp,84,226,1
Arp2,106,2478,10
Arp3,10,548,10
AtFim1,11,4,1
B-Cat,5,30,2
BAX,5,4605,1
BCK1,16,97,8
BCK1-20,16,0,0
BNI1,23,72,7
BRCA1,42,8282,1
BRCA2,42,3054,1
BTG,5,1426,5
BUB3,13,2116,1
BUD1,5,3,1
BUD2,5,42,10
BUD3,7,8,6
BUD4,7,60,10
BUD5,5,10,5
BUD8,15,3,1
Bet v 1,2,1251,10
Bni1p,7,0,0
Bnr1p,7,2,2
Brca1,6,8282,1
C protein,4,155017,10
C/ATF,5,-1,0
CAN1,3,140,10
CAP1,10,620,1
CAP2,14,536,1
CAT,12,5162,1
CBP,76,3241,10
CD-95,5,0,0
CD26,13,25,2
CD31,4,14,1
CD34,26,481,1
CD44,32,566,1
CD44s,23,0,0
CD44v10,23,0,0
CD44v5,23,0,0
CD44v6,27,0,0
CD44v7-8,23,0,0
CDC39,15,21,5
CDC42Hs,16,6,1
CDC55,15,24,10
CDK,7,2916,1
CDK2,22,1157,1
CDK4,9,908,1
CDKI,5,2,1
CGA7,5,0,0
CHK1,13,914,10
CIN,6,5929,8
CIN1,3,9,3
CIP1,6,556,10
CKI,11,92,1
CKIs,6,0,0
CKs,16,72,2
COF1,4,29,10
CREB,39,4361,10
CREB binding protein,4,1446,10
CREB-binding protein,8,1299,1
CREB-binding-protein,3,1299,1
CREBbinding protein,6,0,0
CTNNB1,3,517,1
CUB,14,8828,1
CUS1,15,12,3
CYBB,6,191,1
Cadherins,4,2106,4
Calpain,3,12952,10
CapG,5,379,1
Cas,5,1217,6
Caspase-8,5,2356,1
Cdc42,2,10957,1
Cdc42p,9,17,3
Cdc6,5,1822,1
Cdk2,10,1157,1
Cdk4,6,908,1
Cip1,17,556,10
Class II profilins,6,6,6
Cof,8,2678,10
Cofilin,5,3123,2
Cx43,10,140,10
DBR1,15,575,1
DDC1,4,15,5
DDC2,13,1,1
DE-cadherin,4,295,10
DEAD box helicase,11,38155,4
DFG10,15,34,9
DFG16,15,8,4
DFG5,15,76,6
DFG9,15,1,1
DHFR,16,503,1
DNA helicase-primase,6,599,3
DNA polymerase,11,100747,2
DNA-PK,4,22,1
DNAse I,2,602,10
DNase,7,2433,10
DNase I,46,602,10
DPB11,13,26,3
DR3,13,10,2
DR4,8,12,1
DR5,8,7,1
DRP,5,68,3
DUN1,13,20,5
Death receptors,5,489,1
E-APC,3,333,1
E-CD,17,1,1
E-Cad,5,6,1
E-cad,97,6,1
E-cadherin,523,107,1
E1A,8,2559,10
E2A,11,635,8
E2F,10,5705,6
E3L,4,7,3
E8,5,75,10
EF-1alpha,5,35,1
EGF,35,25037,1
EGF receptor,15,4324,1
EGFR,60,790,1
EID-1,4,13,1
EMA,16,128,1
END5,3,1,1
END6,3,1,1
ER,4,29922,6
ERCC1,11,488,1
ERCC2,11,453,1
ERK,16,510,1
ERK1,13,91,1
ERK2,5,65,3
End5p,3,0,0
F,76,235209,10
F0,37,24730,2
FADD,167,1273,1
FADD-DN,5,0,0
FAF,49,1416,1
FAP,40,613,1
FH proteins,7,503,1
FLICE,18,18,1
Factor-XIIIa,10,6,1
Fas,93,6490,1
Fas ligand,40,904,1
Fyn,5,2861,1
G,34,256442,10
G proteins,14,4796,10
G1 cyclin,3,5831,6
GAF/PAS,2,-1,0
GAL4,9,178,8
GAL80,1,28,3
GBD,6,13,1
GCD10,8,13,7
GFP,5,135,10
GIC1,4,3,1
GIC2,4,4,2
GP,10,246,1
GPIIb,10,8,1
GTBP,4,9,1
GTPase,7,152456,3
Glutathione S-transferase,6,41341,10
Gravin,5,16,1
Green fluorescent protein,5,16,2
H,50,129284,10
H1,41,14652,1
H1(0),20,86,1
H119E,3,0,0
H2A,48,18116,8
H2A.1,20,5285,2
H2A.2,40,2051,2
