protein,appearances,hits,max_score_hits
ADAM 12,8,2086,2
AP-1,18,21456,7
AP180,8,917,2
ARF,22,16331,10
BCL-6,1,1378,10
Bcl3,52,384,1
CASP10,4,394,1
CB1,21,730,10
CCR2,24,283,1
CD148,12,2,1
CD162,13,2,1
CD18,10,20,1
CD22,112,3162,1
CD43,91,11,2
CD45,12,32,4
CD53,10,814,1
CD69,5,441,1
CG beta,27,370,2
CG beta alpha,18,362,2
CLIP-170,28,14,1
CR6,25,16,1
CREB,20,4361,10
CTD,4,12116,1
CdGAP,25,9,4
Cdc25,6,434,10
Cdc42,100,10957,1
Cdk1,100,539,1
Chk1,20,914,10
Cytohesin-1,11,1878,1
DEP1,48,66,1
DGKdelta,1,2,1
DRS,5,39,1
Dnmt3a,60,372,1
Dnmt3b,12,345,1
E-cadherin,12,107,1
E2-2,6,5411,10
Egr1,5,1394,1
Etfb,6,460,1
Etfdh,6,504,1
FGF-1,8,818,4
FGF-1.B,3,49,1
FGF-2,5,588,4
FGF-8,5,62,1
FGFR4,5,738,1
FSH beta,36,397,4
GAB,25,22,1
GADD45a,25,349,1
GADD45b,25,370,1
GADD45g,25,735,1
GAP,25,30395,10
GC-GAP,125,5,2
GPI-80,60,8,1
GST,21,1992,10
GTPase-activating protein,50,67382,1
Gab1,75,621,1
Gab2,75,485,1
Gadd45,25,2138,1
Gadd45a,75,349,1
Gadd45b,125,370,1
Gadd45g,125,735,1
Grb2,25,8365,1
HDAC1,12,595,1
Hif1 alpha,200,21,1
Hsp90,1,3992,10
Hsp90beta,1,10,1
IFN,2,742,2
IFN alpha,2,308,2
IL-2,5,303,8
IL-4,5,132,3
IL-6,12,273,2
IL-6 receptor,6,90,1
IL-8,8,92,3
IkappaBbeta,39,3,1
Imp3,50,1276,1
Imp4,40,1287,1
Interleukin-6,6,2869,1
Jak2,55,878,1
Janus kinase 2,11,2016,10
KIAA1427,4,0,0
LDL receptor,5,7183,1
LDLR,10,813,1
LFA-1,44,21,1
LH beta,9,375,1
LIS1,21,64,5
MCP-1,24,65,3
MEF2A,30,807,1
MSH2,20,1307,1
Megalin,6,19,1
MyD118,25,4,1
NF-E2,18,452,1
NF-E2-related factor 2,9,1043,10
NRF2,27,32,4
Nck,25,5240,4
NudC,104,4741,1
OX1R,28,6,1
P-selectin glycoprotein ligand 1,13,1419,10
PC-3,14,2125,10
PG-M,24,46,1
PGs,96,12,3
PIAS1,12,872,1
PIASxalpha,12,1,1
PLCgamma1,8,5,2
PTP-1C,84,2,1
PTP-PEST,12,7,1
Pinin,5,1379,1
Plk1,78,2362,1
RANTES,8,29,1
Rac1,50,6520,1
Rad17,30,1325,1
Raf1,3,541,1
SMC,48,6369,1
SMC1,40,110,10
SRC-1,13,2373,1
SRcyp,8,2,1
SRm300,10,10,1
SRp75,10,11,1
STAT3,33,589,1
SUMO-1,36,3422,1
Shp-2,25,27,1
Siglec-1,13,240,1
Syt,8,33,2
Syt XIII,8,4,4
TAF(II)250,3,3,1
TBP,3,4209,1
TBP-1,200,566,1
TFIIA,26,577,3
TFIIB,13,1075,7
TFIID,6,21412,4
TFIIIC,2,335,1
TFIIIC102,2,4,1
TFIIIC63,2,2,1
TR2,32,26,2
Tat-binding protein-1,25,89,7
Tyk-2,2,3,1
Ubc9,12,1481,10
VHL,25,923,1
acidic FGF (FGF-1),5,34,10
amyloid,48,10772,3
androgen receptor,16,1239,1
apoB,12,399,1
basic FGF (FGF-2),5,31,10
beta 2 integrin,40,2632,10
beta-amyloid,24,7491,10
beta-catenin,12,5611,7
biglycan,48,497,1
c-myc,5,2143,1
cAMP-response-element-binding-protein,20,90,2
cdc2,75,1362,10
cubilin,6,2421,1
cystatin alpha,8,10,1
cytidine deaminase,4,4715,1
cytohesin-1,55,1878,1
decorin,48,654,1
desmoplakin,24,870,4
elafin,8,177,10
glutathione S-transferase,22,41341,10
glutathione-S-transferase,8,41341,1
gp130,6,123,5
heparan sulfate proteoglycan,24,1663,1
histone deacetylase-1,1,1639,1
homodimer,4,182,1
involucrin,24,714,1
loricrin,8,1582,1
low density lipoprotein receptor,5,15628,2
monocyte chemotactic protein-1,8,36,1
oncostatin M,5,1058,10
orexin 1 receptor,7,1475,1
p120(ctn),24,7,1
p300,53,4041,1
p85alpha,8,1,1
pVHL,200,10,1
paxillin,33,1131,1
perlecan,144,30,3
peroxisome proliferator-activated receptor gamma,9,2807,1
phosphatidylinositol 3-kinase,29,11641,1
phosphatidylinositol-3 kinase,6,11641,1
phospho-LIS1,7,0,0
phospholipase C-gamma1,4,3,1
pleckstrin,1,30251,1
protein tyrosine phosphatase 1C,14,3,1
raf1,3,541,1
receptor protein tyrosine phosphatase,12,31218,1
receptor-like protein tyrosine phosphatase,12,10259,1
serum albumin,24,310,10
sialoadhesin,52,1600,10
snoRNA,20,2378,10
splicing factor SC35,4,1332,4
versican,48,837,1
