protein,appearances,hits,max_score_hits
ClpX,6,2319,1
ComK,10,166,3
CsbB,2,4,3
CtsR,6,226,1
DnaK,8,2136,10
E sigma E,6,1007,10
EsigmaF,8,0,0
FlgM,13,514,10
FtsZ,25,2955,10
GerE,210,28,10
KatX,8,8,7
KinC,2,4,3
KinD,2,212,2
PBP4*,7,-1,0
PhoP~P,3,-1,0
RacX,7,38,1
RbsW,8,0,0
RocR,4,17,2
SigE,6,523,10
SigK,12,146,10
SigL,5,11,4
Spo0,1,0,0
Spo0A,13,174,10
Spo0A~P,2,-1,0
SpoIIAA,23,86,10
SpoIIAA-P,12,0,0
SpoIIAB,14,58,10
SpoIIE,75,1079,10
SpoIIID,60,123,10
YdjP,7,11,4
YfhM,7,124,7
YfhP,6,4,2
YknXYZ,7,0,0
YteI,7,0,0
YtxH,3,545,1
YuaG,7,0,0
YvyD,3,2,1
ald,9,1145,10
araE,1,20,10
bkd,1,40,1
bmrUR,7,0,0
clpC,12,539,10
comF,5,817,1
cot,39,258,10
cotB,80,3,3
cotC,80,3,3
cotD,76,25,7
cotX,83,2,1
cwlH,2,2,1
degR,15,2,2
flgM,5,514,10
ftsY,2,1718,10
gerE,40,28,10
gsiB,2,171,10
hag,5,41,10
katX,24,8,7
kdgR,1,142,10
nadE,1,1117,10
phrC,1,10,2
rocG,8,3,3
rsfA,2,220,3
sigB,2,447,10
sigE,27,523,10
sigK,38,146,10
sigW,1,40,10
sigX,3,90,10
sigma 28,8,1108,10
sigma 32,8,1047,10
sigma B,11,170,10
sigma F,9,368,10
sigma G,8,278,10
sigma W,7,64,10
sigma X,2,44,10
sigma(54),4,5476,3
sigma(A),7,113,1
sigma(B),3,142,2
sigma(F),7,281,10
sigma(G),4,87,2
sigma(H),5,26,1
sigma(K),44,7,1
sigma(X),3,7,3
sigmaA,34,1,1
sigmaB,87,0,0
sigmaD,15,0,0
sigmaE,1,2,1
sigmaF,59,1,1
sigmaG,15,0,0
sigmaH,22,0,0
sigmaK,106,266,1
sigmaL,9,0,0
sigmaW,1,0,0
spo0A,2,174,10
spo0H,1,0,0
spoIIG,4,0,0
spoIVA,1,121,10
spoVG,2,223,10
sspE,6,2,2
sspG,3,1,1
sspH,6,1,1
sspJ,3,12,5
sspL,6,24,10
sspN,6,512,1
tagA,3,458,8
tagD,3,167,10
tlp,6,121,10
tuaA,3,36,1
ydaE,7,1,1
ydaG,7,2,2
ydaP,7,2,1
ydhD,6,3,2
yfhP,6,4,2
yfhQ,6,1,1
yfhR,6,17,2
yfhS,6,2,1
yfkM,7,1,1
ykuD,6,5,1
ykvP,6,1,1
ykzA,1,0,0
ypuN,3,0,0
yvyD,36,2,1
ywhE,2,0,0
