surface,symbol,entrezgene or _id,ensembl_id,pdb_id,name
A,a,50518,ENSMUSG00000027596,,nonagouti
A1 adenosine receptor,RECEPTOR,443145,,,neuropilin-1
A1-adenosine receptor,RECEPTOR,443145,,,neuropilin-1
ABP,LOC494538,494538,,,ABP beta
A-Cat,tRNA-fMet(CAT)a,28482673,,,tRNA
acetylcholine receptor,RECEPTOR,443145,,,neuropilin-1
acetylcholinesterase,Ache,11423,ENSMUSG00000023328,"['1C2B', '1C2O', '1J06', '1J07', '1KU6', '1MAA', '1MAH', '1N5M', '1N5R', '1Q83', '1Q84', '2C0P', '2C0Q', '2GYU', '2GYV', '2GYW', '2H9Y', '2HA0', '2HA2', '2HA3', '2HA4', '2HA5', '2HA6', '2HA7', '2JEY', '2JEZ', '2JF0', '2JGE', '2JGF', '2JGI', '2JGJ', '2JGK', '2JGL', '2JGM', '2WHP', '2WHQ', '2WHR', '2WLS', '2WU3', '2WU4', '2XUD', '2XUF', '2XUG', '2XUH', '2XUI', '2XUJ', '2XUK', '2XUO', '2XUP', '2XUQ', '2Y2U', '2Y2V', '3DL4', '3DL7', '3ZLT', '3ZLU', '3ZLV', '4A16', '4A23', '4ARA', '4ARB', '4B7Z', '4B80', '4B81', '4B82', '4B83', '4B84', '4B85', '4BC0', '4BC1', '4BTL', '5DTI', '5DTJ', '5EHN', '5EHQ', '5EHZ', '5EIA', '5EIE', '5EIH', '5FKJ', '5FPP', '5FUM', '5HCU', '5OV9', '6FSD', '6FSE', '6TD2']",acetylcholinesterase
ACT1,Act1,109776,,,actin related gene 1
Act88F,Act88F,41885,FBgn0000047,,Actin 88F
Actin-binding proteins,DSTN,11034,ENSG00000125868,,"destrin, actin depolymerizing factor"
actin-binding proteins,DSTN,11034,ENSG00000125868,,"destrin, actin depolymerizing factor"
Actin-depolymerizing factor,DSTN,11034,ENSG00000125868,,"destrin, actin depolymerizing factor"
actin-depolymerizing factor,DSTN,11034,ENSG00000125868,,"destrin, actin depolymerizing factor"
actins,ACTG2,72,ENSG00000163017,6JAT,"actin gamma 2, smooth muscle"
ADA,ADA,100,ENSG00000196839,"['1M7M', '3IAR']",adenosine deaminase
adenosine deaminase,ADA,100,ENSG00000196839,"['1M7M', '3IAR']",adenosine deaminase
adenosine kinase,ADK,132,ENSG00000156110,"['1BX4', '2I6A', '2I6B', '4O1L']",adenosine kinase
alpha-actinin,ALPHA-ACTININ,NEMVEDRAFT_v1g206855,,,Predicted protein
alpha-cat,alpha-Cat,40517,FBgn0010215,,alpha Catenin
alpha-SMA,acta2.L,431847,,,"actin, alpha 2, smooth muscle, aorta L homeolog"
alpha-syntrophin,LOC106732749,106732749,,,alpha-1-syntrophin
amphiphysin,AMPH,273,ENSG00000078053,"['1KY7', '1UTC', '3SOG', '4ATM', '5M5S', '5M61']",amphiphysin
annexin I,ANNEXIN,100784252,GLYMA_13G088700,,annexin D1-like
